LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
53.5,0,21,1,Male,0,0,0.9,0,0,1,0,0,0,0,0,0,0,0,1,4,4,1,4.29,3,69.93,0,0,0,0
177.1,53,2,0,Female,5,53,0.05,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,8.71,1,11.48,1,0,0,1
107.6,47,24,1,Male,5,47,0.8,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,59.99,2,3.33,0,0,0,1
65.2,21,53,1,Male,2,21,0.77,0,0,0,0,0,0,0,0,0,1,0,1,8,0,7,59.99,10,16.67,0,0,0,1
166.6,88,69,0,Female,4,88,0.67,0,0,0,1,0,0,0,0,0,0,0,1,14,0,7,62.02,0,0,0,0,0,1
146.5,8,23,1,Male,5,8,2.17,0,0,0,1,0,0,0,0,0,0,0,1,45,0,7,60.97,18,29.52,0,0,0,1
1164.38,19,44,0,Female,49,19,0.19,0,0,1,1,0,0,0,0,0,0,0,2,37,24,1,8.71,4,45.92,4,0,0,0
194.6,38,31,1,Male,8,38,1.44,0,0,0,1,0,0,0,0,0,0,0,1,48,0,7,60.97,8,13.12,0,0,0,1
118.1,5,21,0,Female,13,5,0.11,0,0,0,0,0,1,0,0,0,0,0,1,6,6,4,17.16,4,23.31,1,0,0,0
109.1,12,20,1,Male,19,12,0.24,0,0,0,1,0,1,0,0,0,0,0,2,18,5,2,16.28,5,30.71,2,0,0,0
889.2,3,42,1,Male,27,3,2.54,0,0,1,0,0,0,0,0,0,0,0,1,270,35,7,60.97,15,24.6,3,0,0,0
